Date,Type,Category,Amount,Location,Balance
2023-09-27 00:21:51.686541,Expense,Other,€-411.71,"BI-707, Ganbe, Derio, Andraka, Bizkaia, Euskadi, 48620, España",€-411.71
2023-09-28 16:48:51.686541,Expense,Leisure,€-682.42,"Landapea, Bermeo, Bizkaia, Euskadi, España",€-1094.13
2023-09-29 09:21:51.686541,Expense,Mortgage,€-965.61,"Bilbao, Spain",€-2059.74
2023-09-29 13:15:51.686541,Expense,Food,€-812.76,"Herriko Plaza, Elexabeitia, Artea, Bizkaia, Euskadi, 48142, España",€-2872.50
2023-09-29 19:49:51.686541,Expense,Mortgage,€-1266.76,"Bilbao, Spain",€-4139.26
2023-09-30 18:50:51.686541,Expense,Utilities,€-410.41,"Bilbao, Spain",€-4549.67
2023-10-01 19:34:51.686541,Expense,Other,€-428.16,"Derio, Andraka, Bizkaia, Euskadi, 48620, España",€-4977.82
2023-10-02 07:31:51.686541,Income,Salary,€4008.15,"Bilbao, Spain",€-969.67
2023-10-02 12:18:51.686541,Expense,Leisure,€-516.16,"BU-V-5612, Cogullos, Merindad de Sotoscueva, Burgos, Castilla y León, España",€-1485.83
2023-10-03 13:39:51.686541,Expense,Food,€-669.88,"Carretera Zazpilanda / Zazpilandako errepidea, Zazpilanda, Basurtu-Zorrotza, Bilbao, Bizkaia, Euskadi, 48013, España",€-2155.71
2023-10-03 22:24:51.686541,Expense,Food,€-852.62,"Garate, Zuaza/Zuhatza, Ayala/Aiara, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01477, España",€-3008.33
2023-10-05 15:11:51.686541,Expense,Utilities,€-357.39,"Bilbao, Spain",€-3365.72
2023-10-05 20:24:51.686541,Expense,Food,€-763.71,"26, Larrazabal kalea/Calle Larrazabal, Larrazabal-Gardea, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-4129.43
2023-10-07 20:05:51.686541,Expense,Leisure,€-670.95,"El Portillo, Etayo, Montejurra, Navarra - Nafarroa, 31280, España",€-4800.38
2023-10-07 21:09:51.686541,Expense,Food,€-726.64,"25, Calle Autonomía / Autonomia kalea, Ametzola, Errekalde, Bilbao, Bizkaia, Euskadi, 48012, España",€-5527.01
2023-10-08 00:26:51.686541,Expense,Other,€-426.20,"Túmulo Kaateko soroa, Olako bidea, Igoa, Basaburua, Larraun-Leitzaldea, 31866, España",€-5953.21
2023-10-08 20:23:51.686541,Expense,Leisure,€-564.98,"Andraka, Bizkaia, Euskadi, 48620, España",€-6518.20
2023-10-09 00:39:51.686541,Expense,Utilities,€-341.72,"Bilbao, Spain",€-6859.91
2023-10-11 19:50:51.686541,Expense,Food,€-773.37,"Sopuerta, Bizkaia, Euskadi, 48190, España",€-7633.29
2023-10-12 10:29:51.686541,Expense,Utilities,€-414.15,"Bilbao, Spain",€-8047.43
2023-10-14 09:13:51.686541,Expense,Leisure,€-515.96,"Etxebarri, BI-3950, Galartza industria poligonoa, Etxebarria, Bizkaia, Euskadi, 48277, España",€-8563.39
2023-10-14 16:18:51.686541,Expense,Food,€-793.44,"BI-3702, Moiordin-Barrondo, Burbustu-Altamira, Zaratamo, Bizkaia, Euskadi, 48480, España",€-9356.83
2023-10-15 14:26:51.686541,Expense,Leisure,€-563.97,"saratxo-berenilla, Güeñes, Bizkaia, Euskadi, 48840, España",€-9920.80
