Date,Income,Extra Income,Total Expenses,Extra Expenses,Balance,Mortgage,Car,Food,Leisure,Utilities,Other
2021-09-26 18:26:08.718704,€0.00,€0.00,€20.11,€0.00,€-20.11,€0.00,€0.00,€0.00,€12.21,€0.00,€7.90
2021-09-27 18:26:08.718704,€0.00,€0.00,€22.25,€0.00,€-42.36,€0.00,€0.00,€0.00,€14.09,€0.00,€8.16
2021-09-28 18:26:08.718704,€0.00,€0.00,€23.03,€0.00,€-65.39,€0.00,€0.00,€0.00,€13.16,€0.00,€9.87
2021-09-29 18:26:08.718704,€0.00,€0.00,€25.69,€0.00,€-91.08,€0.00,€0.00,€0.00,€16.00,€0.00,€9.69
2021-09-30 18:26:08.718704,€0.00,€0.00,€24.06,€0.00,€-115.13,€0.00,€0.00,€0.00,€15.36,€0.00,€8.70
2021-10-01 18:26:08.718704,€5006.32,€0.00,€180.88,€0.00,€4710.30,€0.00,€0.00,€155.95,€14.76,€0.00,€10.17
2021-10-02 18:26:08.718704,€0.00,€0.00,€21.87,€0.00,€4688.44,€0.00,€0.00,€0.00,€12.99,€0.00,€8.88
2021-10-03 18:26:08.718704,€0.00,€0.00,€23.18,€0.00,€4665.25,€0.00,€0.00,€0.00,€14.87,€0.00,€8.32
2021-10-04 18:26:08.718704,€0.00,€0.00,€23.01,€0.00,€4642.25,€0.00,€0.00,€0.00,€14.32,€0.00,€8.68
2021-10-05 18:26:08.718704,€0.00,€0.00,€876.85,€0.00,€3765.40,€854.87,€0.00,€0.00,€12.82,€0.00,€9.17
2021-10-06 18:26:08.718704,€0.00,€0.00,€19.87,€0.00,€3745.53,€0.00,€0.00,€0.00,€12.26,€0.00,€7.61
2021-10-07 18:26:08.718704,€0.00,€0.00,€24.48,€0.00,€3721.05,€0.00,€0.00,€0.00,€14.06,€0.00,€10.41
2021-10-08 18:26:08.718704,€0.00,€0.00,€142.82,€0.00,€3578.23,€0.00,€0.00,€120.07,€13.44,€0.00,€9.31
2021-10-09 18:26:08.718704,€0.00,€0.00,€22.36,€0.00,€3555.87,€0.00,€0.00,€0.00,€12.04,€0.00,€10.32
2021-10-10 18:26:08.718704,€0.00,€0.00,€471.43,€0.00,€3084.44,€0.00,€447.67,€0.00,€13.31,€0.00,€10.46
2021-10-11 18:26:08.718704,€0.00,€0.00,€21.21,€0.00,€3063.23,€0.00,€0.00,€0.00,€11.25,€0.00,€9.96
2021-10-12 18:26:08.718704,€0.00,€0.00,€25.76,€0.00,€3037.47,€0.00,€0.00,€0.00,€14.79,€0.00,€10.97
2021-10-13 18:26:08.718704,€0.00,€0.00,€25.86,€0.00,€3011.61,€0.00,€0.00,€0.00,€16.16,€0.00,€9.70
2021-10-14 18:26:08.718704,€0.00,€0.00,€23.62,€0.00,€2987.98,€0.00,€0.00,€0.00,€15.72,€0.00,€7.90
2021-10-15 18:26:08.718704,€0.00,€0.00,€426.37,€0.00,€2561.61,€0.00,€0.00,€140.41,€12.93,€264.90,€8.13
2021-10-16 18:26:08.718704,€0.00,€0.00,€23.56,€0.00,€2538.04,€0.00,€0.00,€0.00,€13.76,€0.00,€9.81
2021-10-17 18:26:08.718704,€0.00,€0.00,€22.71,€0.00,€2515.33,€0.00,€0.00,€0.00,€14.75,€0.00,€7.96
2021-10-18 18:26:08.718704,€0.00,€0.00,€24.63,€0.00,€2490.71,€0.00,€0.00,€0.00,€14.43,€0.00,€10.20
2021-10-19 18:26:08.718704,€0.00,€0.00,€20.61,€0.00,€2470.09,€0.00,€0.00,€0.00,€12.21,€0.00,€8.40
2021-10-20 18:26:08.718704,€0.00,€0.00,€21.94,€0.00,€2448.15,€0.00,€0.00,€0.00,€13.66,€0.00,€8.28
2021-10-21 18:26:08.718704,€0.00,€0.00,€24.99,€0.00,€2423.17,€0.00,€0.00,€0.00,€15.44,€0.00,€9.54
2021-10-22 18:26:08.718704,€0.00,€0.00,€172.46,€0.00,€2250.71,€0.00,€0.00,€150.71,€11.11,€0.00,€10.63
2021-10-23 18:26:08.718704,€0.00,€0.00,€19.88,€0.00,€2230.83,€0.00,€0.00,€0.00,€11.91,€0.00,€7.97
2021-10-24 18:26:08.718704,€0.00,€0.00,€21.05,€0.00,€2209.78,€0.00,€0.00,€0.00,€12.40,€0.00,€8.65
2021-10-25 18:26:08.718704,€0.00,€0.00,€23.67,€0.00,€2186.11,€0.00,€0.00,€0.00,€14.54,€0.00,€9.13
2021-10-26 18:26:08.718704,€0.00,€0.00,€25.16,€0.00,€2160.96,€0.00,€0.00,€0.00,€15.01,€0.00,€10.15
2021-10-27 18:26:08.718704,€0.00,€0.00,€22.59,€0.00,€2138.36,€0.00,€0.00,€0.00,€13.11,€0.00,€9.48
2021-10-28 18:26:08.718704,€0.00,€0.00,€26.31,€0.00,€2112.05,€0.00,€0.00,€0.00,€16.91,€0.00,€9.40
2021-10-29 18:26:08.718704,€0.00,€0.00,€24.14,€0.00,€2087.91,€0.00,€0.00,€0.00,€16.43,€0.00,€7.71
2021-10-30 18:26:08.718704,€0.00,€0.00,€23.76,€0.00,€2064.15,€0.00,€0.00,€0.00,€13.67,€0.00,€10.10
2021-10-31 18:26:08.718704,€0.00,€0.00,€0.00,€0.00,€2064.15,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
2021-11-01 18:26:08.718704,€4552.71,€1884.93,€154.89,€0.00,€8346.90,€0.00,€0.00,€131.05,€14.51,€0.00,€9.33
2021-11-02 18:26:08.718704,€0.00,€0.00,€27.16,€0.00,€8319.74,€0.00,€0.00,€0.00,€16.15,€0.00,€11.01
2021-11-03 18:26:08.718704,€0.00,€0.00,€22.30,€0.00,€8297.44,€0.00,€0.00,€0.00,€13.92,€0.00,€8.38
2021-11-04 18:26:08.718704,€0.00,€0.00,€23.93,€0.00,€8273.51,€0.00,€0.00,€0.00,€14.76,€0.00,€9.17
2021-11-05 18:26:08.718704,€0.00,€0.00,€965.55,€0.00,€7307.96,€942.41,€0.00,€0.00,€13.78,€0.00,€9.36
2021-11-06 18:26:08.718704,€0.00,€0.00,€22.95,€0.00,€7285.02,€0.00,€0.00,€0.00,€13.90,€0.00,€9.04
2021-11-07 18:26:08.718704,€0.00,€0.00,€21.30,€0.00,€7263.72,€0.00,€0.00,€0.00,€13.04,€0.00,€8.26
2021-11-08 18:26:08.718704,€0.00,€0.00,€180.40,€0.00,€7083.32,€0.00,€0.00,€155.88,€14.44,€0.00,€10.08
2021-11-09 18:26:08.718704,€0.00,€0.00,€21.13,€0.00,€7062.19,€0.00,€0.00,€0.00,€11.77,€0.00,€9.36
2021-11-10 18:26:08.718704,€0.00,€0.00,€427.56,€0.00,€6634.63,€0.00,€404.63,€0.00,€14.05,€0.00,€8.87
2021-11-11 18:26:08.718704,€0.00,€0.00,€21.26,€0.00,€6613.37,€0.00,€0.00,€0.00,€12.85,€0.00,€8.40
