Date,Income,Extra Income,Total Expenses,Extra Expenses,Balance,Mortgage,Car,Food,Leisure,Utilities,Other,Mortgage_Location,Car_Location,Food_Location,Leisure_Location,Utilities_Location,Other_Location,Extra_Expense_Location
2023-09-26 18:51:56.402276,€0.00,€0.00,€23.70,€0.00,€-23.70,€0.00,€0.00,€0.00,€13.18,€0.00,€10.52,"Bilbao, Spain","Bilbao, Spain","Bilbao - Bermeo errepidea, Emerando, Meñaka, Andraka, Bizkaia, Euskadi, 48620, España","Corral de Valhondo, Salas de Bureba, Burgos, Castilla y León, 09246, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-09-27 18:51:56.402276,€0.00,€0.00,€25.46,€0.00,€-49.16,€0.00,€0.00,€0.00,€14.40,€0.00,€11.06,"Bilbao, Spain","Bilbao, Spain","Buztenatera, Zeberio, Bizkaia, Euskadi, 48148, España","Camino Santiago / Donejakue bidea, Subijana de Álava/Subillana-Gasteiz, Nanclares de la Oca/Langraiz Oka, Iruña Oka/Iruña de Oca, Añanako kuadrilla/Cuadrilla de Añana, Burgos, Castilla y León, 01230, España","Bilbao, Spain","Carretera de acceso a El Prado, El Prado, Soba, Cantabria, 39805, España",
2023-09-28 18:51:56.402276,€0.00,€0.00,€22.80,€0.00,€-71.95,€0.00,€0.00,€0.00,€15.05,€0.00,€7.74,"Bilbao, Spain","Bilbao, Spain","Barrio Arzabe, Aranguren, Zalla, Bizkaia, Euskadi, 48850, España","Senda del arroyo Grazal, Lexartza / Lejarza, Güeñes, Bizkaia, Euskadi, 48840, España","Bilbao, Spain","Amárita, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01520, España",
2023-09-29 18:51:56.402276,€0.00,€0.00,€23.56,€0.00,€-95.51,€0.00,€0.00,€0.00,€13.39,€0.00,€10.16,"Bilbao, Spain","Bilbao, Spain","Sopelako saihesbidea, Argalutza, Sopela, Andraka, Bizkaia, Euskadi, 48620, España","Arena / La Arena, Zierbena, Bizkaia, Euskadi, 48508, España","Bilbao, Spain","BU-V-5314, Arroyo de Valdivielso, Quecedo de Valdivielso, Merindad de Valdivielso, Burgos, Castilla y León, 09559, España",
2023-09-30 18:51:56.402276,€0.00,€0.00,€23.06,€0.00,€-118.57,€0.00,€0.00,€0.00,€15.03,€0.00,€8.03,"Bilbao, Spain","Bilbao, Spain","BI-3102, Mendotza, Gamiz-Fika, Bizkaia, Euskadi, 48620, España","BI-3108, Elordigane, Markaida, Maruri-Jatabe, Andraka, Bizkaia, Euskadi, 48620, España","Bilbao, Spain","BI-2524, Herriko Plaza, Elexabeitia, Artea, Bizkaia, Euskadi, 48142, España",
2023-10-01 18:51:56.402276,€5634.96,€0.00,€143.62,€0.00,€5372.77,€0.00,€0.00,€120.63,€14.39,€0.00,€8.60,"Bilbao, Spain","Bilbao, Spain","Mina Pickwick, Zugaztieta / La Arboleda - Muskiz, Picuí, Ortuella, Bizkaia, Euskadi, 48500, España","La Brena, Rasines, Cantabria, 39860, España","Bilbao, Spain","Bilbao - Mungia autobia, Aldekoena, Derio, Andraka, Bizkaia, Euskadi, 48620, España",
2023-10-02 18:51:56.402276,€0.00,€0.00,€23.14,€0.00,€5349.62,€0.00,€0.00,€0.00,€14.10,€0.00,€9.04,"Bilbao, Spain","Bilbao, Spain","Bergé Marítima de Bilbao, 9, Muelle Reina Victoria Eugenia, Bilbao Port, Kabiezes, Santurtzi, Andraka, Bizkaia, Euskadi, 48620, España","Andraka, Bizkaia, Euskadi, 48620, España","Bilbao, Spain","Zuzarreta, Aguinaga de Iza, Iza/Itza, Ibarrak / Valles, 31860, España",
2023-10-03 18:51:56.402276,€0.00,€0.00,€24.79,€0.00,€5324.83,€0.00,€0.00,€0.00,€15.31,€0.00,€9.48,"Bilbao, Spain","Bilbao, Spain","Mandoiondo, Bedia, Bizkaia, Euskadi, 48390, España","Senda por el Barranco de Artikuatxa, Berganzo, Zambrana, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01212, España","Bilbao, Spain","Miren Martínez Sáez del Burgo kalea/Calle Miren Martínez Sáez del Burgo, Abendaño, San Martín, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01008, España",
2023-10-04 18:51:56.402276,€0.00,€0.00,€24.07,€0.00,€5300.77,€0.00,€0.00,€0.00,€13.62,€0.00,€10.45,"Bilbao, Spain","Bilbao, Spain","Barrio Artatza, Txorierri, Begoñako Ama, Leioa, Andraka, Bizkaia, Euskadi, 48620, España","Silió, Molledo, Cantabria, 39438, España","Bilbao, Spain","A-623, Legutio, Gorbeialdea, Araba/Álava, Euskadi, 01170, España",
2023-10-05 18:51:56.402276,€0.00,€0.00,€879.51,€0.00,€4421.25,€858.21,€0.00,€0.00,€13.19,€0.00,€8.11,"Bilbao, Spain","Bilbao, Spain","Barrio Errotaiega, Iratzagorria, Gordexola, Bizkaia, Euskadi, 48182, España","Camino a Villarías, Villarías, Villarcayo de Merindad de Castilla la Vieja, Burgos, Castilla y León, 09513, España","Bilbao, Spain","Axpe, Atxondo, Bizkaia, Euskadi, 48291, España",
